#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,Ronald Acuna Jr.,ATL,147,659,566,177,33,2,35,120,93,77,104,10,52,13,11.70%,15.80%,0.253,0.329,0.313,0.402,0.566,0.968,0.409,158,1,5.35,-0.32,1.16
2,Mookie Betts,LAD,149,661,566,160,35,2,33,111,94,81,104,8,13,4,12.20%,15.70%,0.244,0.294,0.283,0.378,0.527,0.905,0.385,146,5.1,2.56,-0.27,0.87
3,Aaron Judge,NYY,138,600,496,137,22,0,44,100,106,96,162,4,6,2,16.00%,26.90%,0.309,0.317,0.276,0.395,0.586,0.981,0.408,161,11.3,3.85,0.12,1.41
4,Juan Soto,NYY,153,664,529,148,27,2,37,104,100,127,110,4,11,4,19.10%,16.60%,0.265,0.288,0.28,0.42,0.544,0.964,0.409,162,10.7,1.98,0.08,0.96
5,Yordan Alvarez,HOU,139,599,505,150,31,2,39,95,107,78,117,10,1,0,13.10%,19.50%,0.297,0.313,0.296,0.398,0.593,0.991,0.414,169,16.4,2.45,0.11,1.49
6,Julio Rodriguez,SEA,151,662,599,168,34,3,32,99,91,51,156,10,32,9,7.60%,23.50%,0.223,0.329,0.28,0.345,0.504,0.848,0.36,135,3.1,2.27,-1.81,0.38
7,Jose Ramirez,CLE,151,657,577,160,37,4,26,90,94,69,76,5,25,7,10.50%,11.60%,0.215,0.279,0.278,0.356,0.493,0.849,0.358,131,16,3.62,-2.25,0.32
8,Adley Rutschman,BAL,143,604,517,140,31,1,18,78,70,76,95,5,2,1,12.70%,15.80%,0.172,0.298,0.271,0.367,0.442,0.81,0.352,127,52.9,3.13,-2.31,0.62
9,Freddie Freeman,LAD,154,677,587,180,39,2,26,108,96,75,108,9,15,4,11.10%,15.90%,0.206,0.337,0.307,0.392,0.513,0.904,0.384,145,8.8,4.13,0.47,1.17
10,Corey Seager,TEX,128,559,495,146,31,1,29,83,88,53,90,5,2,1,9.50%,16.20%,0.247,0.306,0.295,0.366,0.541,0.907,0.382,143,32.1,3.7,1.41,1.08
11,Fernando Tatis Jr.,SDP,148,647,575,157,33,2,33,98,93,61,146,5,28,7,9.50%,22.60%,0.238,0.31,0.273,0.346,0.512,0.858,0.364,131,7.9,4.7,-0.54,0.41
12,Bobby Witt Jr.,KCR,152,657,604,169,33,7,29,99,90,40,121,6,42,11,6.10%,18.40%,0.223,0.304,0.28,0.327,0.502,0.829,0.351,122,2.4,3.51,0.85,0.9
13,Corbin Carroll,ARI,148,631,553,154,30,8,23,101,76,60,130,11,45,7,9.50%,20.70%,0.212,0.324,0.278,0.359,0.49,0.848,0.363,128,6,2.2,0.87,1.4
