#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
1,Spencer Strider,ATL,30,30,178.2,15,6,15,0,0,134,67,20,251,59,12.64,2.98,4.24,1.03,0.206,1.08,0.299,73.00%,3.39,3.05,6.1,5.25,-1.39,1.55
2,Zack Wheeler,PHI,30,30,185,13,8,16,0,0,163,72,21,192,44,9.35,2.14,4.37,1,0.233,1.12,0.292,72.10%,3.52,3.47,24.7,2.08,-1.14,1.16
3,Logan Webb,SFG,30,30,193,12,10,16,0,0,183,73,16,172,41,8.04,1.91,4.21,0.75,0.246,1.16,0.301,71.70%,3.42,3.31,51.7,3.38,0.33,1.09
4,Kevin Gausman,TOR,29,29,179,12,9,15,0,0,158,68,22,208,47,10.48,2.37,4.42,1.09,0.234,1.15,0.306,75.00%,3.43,3.36,31.3,3.39,-0.18,1.12
5,Aaron Nola,PHI,30,30,186.1,12,9,14,0,0,169,81,26,195,41,9.43,1.96,4.81,1.26,0.238,1.12,0.293,70.40%,3.9,3.73,53.1,2.81,-1.42,1.25
6,Pablo Lopez,MIN,30,30,183,12,8,15,0,0,160,72,21,202,49,9.94,2.38,4.17,1.05,0.232,1.14,0.297,73.20%,3.52,3.5,34.8,3.16,-0.44,1.08
7,Tarik Skubal,DET,28,28,155.2,10,9,12,0,0,133,60,17,178,41,10.28,2.38,4.32,0.99,0.228,1.12,0.298,72.90%,3.44,3.3,49.2,3.37,-0.15,1.02
8,George Kirby,SEA,30,30,181.1,12,9,15,0,0,171,72,22,171,27,8.48,1.34,6.33,1.09,0.245,1.09,0.295,71.70%,3.57,3.51,33.1,2.46,-2.73,1.27
9,Framber Valdez,HOU,29,29,189.1,14,9,17,0,0,166,71,17,188,62,8.95,2.92,3.06,0.79,0.232,1.2,0.293,73.40%,3.39,3.55,57.5,2.42,0.27,1.29
10,Zach Eflin,TBR,28,28,165.1,12,8,13,0,0,154,67,20,161,29,8.73,1.59,5.5,1.1,0.243,1.11,0.295,71.30%,3.64,3.54,77.5,3.08,0.34,1.09
11,Corbin Burnes,BAL,30,30,186,12,8,16,0,0,155,73,21,200,57,9.67,2.74,3.53,1.01,0.224,1.14,0.284,72.70%,3.53,3.62,20,5.26,0.52,1.06
12,Yoshinobu Yamamoto,LAD,26,26,166,12,8,11,0,0,143,68,20,176,44,9.56,2.4,3.99,1.09,0.229,1.13,0.287,71.20%,3.69,3.62,37,5.89,0.76,1.03
13,Luis Castillo,SEA,30,30,188.1,13,9,15,0,0,160,74,23,200,57,9.55,2.73,3.5,1.1,0.227,1.15,0.284,73.90%,3.54,3.74,30.4,2.68,0.38,1.1
14,Zac Gallen,ARI,30,30,185.2,13,9,15,0,0,165,76,22,190,50,9.24,2.44,3.79,1.07,0.234,1.16,0.291,71.90%,3.69,3.68,39.8,2.87,0.97,1.01
15,Max Fried,ATL,27,27,162,13,7,13,0,0,151,61,16,156,40,8.64,2.21,3.91,0.91,0.243,1.18,0.3,74.00%,3.4,3.49,61.2,2.86,0.48,1.07
16,Gerrit Cole,NYY,27,27,170,12,7,15,0,0,144,67,24,190,43,10.05,2.27,4.43,1.26,0.226,1.1,0.284,74.50%,3.53,3.69,25.4,5.29,1.03,1.18
17,Freddy Peralta,MIL,28,28,161.2,11,9,12,0,0,129,66,21,194,56,10.82,3.1,3.49,1.19,0.216,1.14,0.281,72.60%,3.7,3.74,51.5,2.07,1.37,0.97
18,Justin Steele,CHC,29,29,170.2,11,8,13,0,0,160,70,18,166,50,8.75,2.66,3.29,0.95,0.244,1.23,0.301,72.80%,3.67,3.7,98.4,1.46,0.33,0.91
19,Jesus Luzardo,MIA,29,29,168.1,11,9,13,0,0,148,71,22,191,55,10.21,2.95,3.46,1.16,0.233,1.21,0.299,73.20%,3.78,3.75,79.8,1.67,-0.19,0.9
20,Tyler Glasnow,LAD,24,24,139.2,12,6,11,0,0,111,54,18,176,43,11.38,2.8,4.07,1.18,0.216,1.11,0.289,74.20%,3.5,3.43,41.3,3.27,-2.24,1.01
21,Logan Gilbert,SEA,31,31,184,12,9,14,0,0,168,78,26,183,42,8.97,2.05,4.37,1.26,0.239,1.14,0.288,71.90%,3.82,3.86,61.7,2.41,-0.36,1.06
22,Blake Snell,,27,27,156.1,11,8,13,0,0,122,61,17,198,76,11.41,4.38,2.6,0.99,0.212,1.27,0.291,75.90%,3.5,3.7,70.8,3.76,0.89,1.28
23,Sonny Gray,STL,27,27,160.2,10,8,12,0,0,146,66,16,153,52,8.56,2.94,2.92,0.91,0.238,1.23,0.292,72.40%,3.67,3.78,117.8,1.44,2.24,0.73
24,Mitch Keller,PIT,30,30,180.2,10,10,13,0,0,173,84,21,174,61,8.66,3.02,2.87,1.05,0.249,1.29,0.303,70.00%,4.16,4.02,161.8,1.86,-1.06,1.37
25,Jordan Montgomery,,28,28,165.1,10,8,12,0,0,158,71,20,150,45,8.16,2.44,3.35,1.11,0.248,1.23,0.295,72.20%,3.86,3.95,156.3,2.14,0.23,0.69
26,Shane Bieber,CLE,26,26,166.1,10,8,14,0,0,156,70,20,157,43,8.52,2.33,3.66,1.1,0.245,1.2,0.296,72.20%,3.78,3.82,149.7,2.57,0.7,0.67
27,Grayson Rodriguez,BAL,28,28,159.2,11,8,11,0,0,136,66,19,172,53,9.69,2.97,3.27,1.06,0.227,1.18,0.287,72.20%,3.71,3.73,65.8,3.85,-0.62,0.77
28,Bobby Miller,LAD,26,26,152,12,7,10,0,0,132,65,18,149,42,8.84,2.5,3.54,1.06,0.231,1.15,0.282,69.80%,3.82,3.8,69.4,3.16,0.13,0.92
29,Dylan Cease,SDP,30,30,173.1,10,9,12,0,0,149,77,23,200,75,10.4,3.87,2.69,1.17,0.229,1.29,0.295,72.90%,4,4.06,104.6,2.24,-0.98,1.36
30,Cole Ragans,KCR,28,28,160.1,10,10,11,0,0,139,69,18,172,66,9.66,3.7,2.61,1.01,0.23,1.28,0.292,72.20%,3.89,3.9,94.1,3.63,0.29,1.01
