"Rank","Player","Team","Positions","Overall","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Spencer Strider","ATL","SP","10","1","4","1.3","0.5","11.0","+1.0"
"2","Corbin Burnes","BAL","SP","20","2","8","3.3","0.8","20.0","-"
"3","Zack Wheeler","PHI","SP","23","2","7","4.3","0.8","28.0","+5.0"
"4","Luis Castillo","SEA","SP","31","4","24","6.5","2.0","33.0","+2.0"
"5","George Kirby","SEA","SP","36","4","27","7.8","2.3","41.0","+5.0"
"6","Pablo Lopez","MIN","SP","35","5","12","8.1","1.5","39.0","+4.0"
"7","Kevin Gausman","TOR","SP","33","3","19","8.2","3.1","32.0","-1.0"
"8","Zac Gallen","ARI","SP","40","5","26","10.4","4.3","38.0","-2.0"
"9","Yoshinobu Yamamoto","LAD","SP","41","3","25","11.3","4.1","35.0","-6.0"
"10","Logan Webb","SF","SP","43","7","21","13.4","2.9","48.0","+5.0"
"11","Tyler Glasnow","LAD","SP","44","2","36","13.7","4.8","43.0","-1.0"
"12","Tarik Skubal","DET","SP","45","6","24","13.9","3.1","46.0","+1.0"
"13","Freddy Peralta","MIL","SP","48","8","26","16.4","2.6","60.0","+12.0"
"14","Aaron Nola","PHI","SP","47","5","35","16.5","4.8","49.0","+2.0"
"15","Josh Hader","HOU","RP","50","10","27","16.9","4.2","53.0","+3.0"
"16","Edwin Diaz","NYM","RP","57","10","51","18.5","6.8","58.0","+1.0"
"17","Framber Valdez","HOU","SP","58","7","37","18.7","5.9","54.0","-4.0"
"18","Max Fried","ATL","SP","56","6","38","18.8","5.6","47.0","-9.0"
"19","Emmanuel Clase","CLE","RP","61","9","32","22.0","4.9","63.0","+2.0"
"20","Jhoan Duran","MIN","RP","64","12","43","22.5","5.8","71.0","+7.0"
"21","Logan Gilbert","SEA","SP","63","8","31","22.8","3.6","68.0","+5.0"
"22","Grayson Rodriguez","BAL","SP","67","8","45","24.1","4.6","69.0","+2.0"
"23","Zach Eflin","TB","SP","68","12","42","25.2","5.7","80.0","+12.0"
"24","Camilo Doval","SF","RP","69","15","68","25.8","6.1","70.0","+1.0"
"25","Blake Snell","","SP ","70","11","43","26.5","7.6","65.0","-5.0"
"26","Bobby Miller","LAD","SP","78","18","46","28.5","6.3","78.0","-"
"27","Eury Perez","MIA","SP","77","17","47","28.8","5.3","88.0","+11.0"
"28","Jesus Luzardo","MIA","SP","79","11","36","29.6","4.5","84.0","+5.0"
